instance,best_cost,n_customers,n_routes,time_s,out_json,out_png,total_load,avg_load,max_load,avg_route_dist,route_loads,route_dists
RC107,1841.2873715600542,100,18,0.19904184341430664,results/aco_repeats\current\repeat_3\RC107_acs_result.json,results/aco_repeats\current\repeat_3\RC107_acs_routes.png,1724,95.778,187,102.294,121;162;55;71;149;113;154;98;187;44;60;120;70;80;120;85;19;16,70.59;103.47;88.51;112.18;94.59;128.86;120.71;130.15;118.53;67.55;109.46;121.15;120.84;90.86;85.30;97.45;67.08;114.02
RC108,1606.3928246657047,100,15,0.21006011962890625,results/aco_repeats\current\repeat_3\RC108_acs_result.json,results/aco_repeats\current\repeat_3\RC108_acs_routes.png,1724,114.933,182,107.093,135;182;77;160;169;115;71;131;100;82;177;130;66;29;100,77.80;99.53;74.65;117.16;96.24;103.49;103.75;149.42;90.26;103.75;116.92;114.03;116.86;115.47;127.06
RC201,2171.36484407898,100,14,0.22853660583496094,results/aco_repeats\current\repeat_3\RC201_acs_result.json,results/aco_repeats\current\repeat_3\RC201_acs_routes.png,1724,123.143,195,155.097,61;141;164;195;155;59;122;176;148;180;121;111;52;39,89.28;169.16;173.66;152.85;149.83;156.52;159.15;170.32;169.41;160.30;190.65;112.58;210.62;107.03
RC202,1890.9487096365092,100,11,0.22338461875915527,results/aco_repeats\current\repeat_3\RC202_acs_result.json,results/aco_repeats\current\repeat_3\RC202_acs_routes.png,1724,156.727,200,171.904,90;200;182;190;194;150;173;152;170;97;126,66.78;156.13;200.89;170.56;227.20;192.79;142.34;213.24;144.62;194.55;181.84
RC203,1757.7350677030183,100,12,0.23082637786865234,results/aco_repeats\current\repeat_3\RC203_acs_result.json,results/aco_repeats\current\repeat_3\RC203_acs_routes.png,1724,143.667,200,146.478,176;46;197;200;196;199;194;163;30;190;50;83,111.76;83.87;136.87;177.22;103.77;228.09;148.71;200.09;63.25;256.99;80.02;167.09
RC204,1316.680242879335,100,10,0.26984691619873047,results/aco_repeats\current\repeat_3\RC204_acs_result.json,results/aco_repeats\current\repeat_3\RC204_acs_routes.png,1724,172.4,200,131.668,146;198;197;199;197;200;200;197;97;93,112.15;179.26;190.37;165.11;101.10;102.99;95.94;98.18;133.58;137.99
RC205,2132.5421170634413,100,14,0.2451953887939453,results/aco_repeats\current\repeat_3\RC205_acs_result.json,results/aco_repeats\current\repeat_3\RC205_acs_routes.png,1724,123.143,199,152.324,61;146;146;199;176;158;199;196;85;80;18;50;170;40,89.28;150.27;153.22;162.48;229.31;225.15;147.10;129.36;113.32;137.00;114.87;124.97;233.29;122.92
RC206,1686.2776789085483,100,10,0.21936845779418945,results/aco_repeats\current\repeat_3\RC206_acs_result.json,results/aco_repeats\current\repeat_3\RC206_acs_routes.png,1724,172.4,199,168.628,135;198;194;199;199;150;193;196;90;170,148.36;156.17;165.73;204.54;186.99;119.65;147.93;210.89;89.34;256.68
RC207,1618.9494076981673,100,10,0.25958681106567383,results/aco_repeats\current\repeat_3\RC207_acs_result.json,results/aco_repeats\current\repeat_3\RC207_acs_routes.png,1724,172.4,199,161.895,199;197;198;196;189;195;189;193;132;36,163.15;112.53;160.30;152.51;174.34;156.07;151.25;152.72;190.66;205.42
RC208,1211.8191764621674,100,9,0.2133636474609375,results/aco_repeats\current\repeat_3\RC208_acs_result.json,results/aco_repeats\current\repeat_3\RC208_acs_routes.png,1724,191.556,200,134.647,199;200;195;199;198;198;200;190;145,138.25;113.41;152.12;111.02;153.06;140.42;97.23;138.55;167.78
